Nombre de Linea de pedido oportunidad,Quantity,Oportunidad,Producto
kids,145,a005f000002I1qGAAS,a045f000002aagUAAQ
shinning,506,a005f000002I2kwAAC,a045f000002aakhAAA
size,270,a005f000002I2krAAC,a045f000002aaklAAA
cost,1025,a005f000002I1AwAAK,a045f000002aakmAAA
breakfast,41,a005f000002I6oEAAS,a045f000002aaknAAA
curious,154,a005f000002I6oFAAS,a045f000002aakoAAA
neck,252,a005f000002I7LaAAK,a045f000002aakpAAA
east,718,a005f000002I7cVAAS,a045f000002aakqAAA
lungs,25,a005f000002I7cWAAS,a045f000002aakrAAA
store,514,a005f000002I7cXAAS,a045f000002aakpAAA
parallel,257,a005f000002I7cYAAS,a045f000002aakqAAA
battle,554,a005f000002I7cZAAS,a045f000002aakrAAA
coast,275,a005f000002I7caAAC,a045f000002aaksAAA
heavy,831,a005f000002I7ccAAC,a045f000002aaktAAA
somebody,49,a005f000002I7cdAAC,a045f000002aakuAAA
hurry,265,a005f000002I7ceAAC,a045f000002aakvAAA
directly,890,a005f000002I7cfAAC,a045f000002aakwAAA
dust,802,a005f000002I7cgAAC,a045f000002aakxAAA
close,738,a005f000002I7cjAAC,a045f000002aakyAAA
silent,909,a005f000002I7ckAAC,a045f000002aakzAAA
private,785,a005f000002I7clAAC,a045f000002aal0AAA
current,587,a005f000002I7cmAAC,a045f000002aal1AAA
during,806,a005f000002I7cnAAC,a045f000002aal2AAA
noise,355,a005f000002I7coAAC,a045f000002aal3AAA
heat,242,a005f000002I7cpAAC,a045f000002aal4AAA
snow,130,a005f000002I7crAAC,a045f000002aal5AAA
known,296,a005f000002I7csAAC,a045f000002aal6AAA
ranch,158,a005f000002I7ctAAC,a045f000002aal7AAA
announced,636,a005f000002I7cuAAC,a045f000002aal8AAA
stop,1076,a005f000002I7cvAAC,a045f000002aal9AAA
peace,920,a005f000002I7cxAAC,a045f000002aalAAAQ
studying,187,a005f000002I7cyAAC,a045f000002aalBAAQ
word,871,a005f000002I7czAAC,a045f000002aakvAAA
earlier,312,a005f000002I7d0AAC,a045f000002aakwAAA
relationship,79,a005f000002I7d1AAC,a045f000002aakxAAA
pot,575,a005f000002I7d2AAC,a045f000002aakyAAA
none,910,a005f000002I7d4AAC,a045f000002aakzAAA
something,884,a005f000002I7d5AAC,a045f000002aakkAAA
also,1006,a005f000002I7d6AAC,a045f000002aaklAAA
exciting,896,a005f000002I7d8AAC,a045f000002aakmAAA
reason,1002,a005f000002I7dAAAS,a045f000002aaknAAA
halfway,909,a005f000002I7dBAAS,a045f000002aakoAAA
disappear,163,a005f000002I7dCAAS,a045f000002aakpAAA
pretty,349,a005f000002I7dDAAS,a045f000002aakqAAA
score,439,a005f000002I7dFAAS,a045f000002aakrAAA
under,181,a005f000002I7dGAAS,a045f000002aaksAAA
seat,245,a005f000002I7dJAAS,a045f000002aaktAAA
rubber,637,a005f000002I7dKAAS,a045f000002aakuAAA
ring,685,a005f000002I7dLAAS,a045f000002aakvAAA
atomic,406,a005f000002I7dMAAS,a045f000002aakwAAA
pleasant,38,a005f000002I7dNAAS,a045f000002aakxAAA
broke,79,a005f000002I7dOAAS,a045f000002aakyAAA
pressure,834,a005f000002I7dPAAS,a045f000002aakzAAA
direction,168,a005f000002I7dQAAS,a045f000002aal0AAA
accept,181,a005f000002I7dRAAS,a045f000002aal1AAA
seems,870,a005f000002I7dSAAS,a045f000002aal2AAA
it,797,a005f000002I7dTAAS,a045f000002aal3AAA
ill,253,a005f000002I7dVAAS,a045f000002aal4AAA
ahead,469,a005f000002I7dWAAS,a045f000002aal5AAA
suit,261,a005f000002I7dYAAS,a045f000002aal6AAA
teach,87,a005f000002I7dZAAS,a045f000002aal7AAA
running,640,a005f000002I7daAAC,a045f000002aal8AAA
or,876,a005f000002I7dbAAC,a045f000002aal9AAA
surrounded,963,a005f000002I7dcAAC,a045f000002aalAAAQ
gravity,264,a005f000002I7utAAC,a045f000002aalBAAQ
composition,175,a005f000002I7uuAAC,a045f000002aalCAAQ
