Close Date,Cuenta,Nombre de Oportunidad,Stage Name,Probability,Owner ID
08/08/2021,0015f000007iXu8AAE,Fermentum Arcu Vestibulum Foundation,Qualification,10 %,0055f000002p2vtAAA
08/26/2021,0015f0000080m8UAAQ,Sem Limited,Proposal/Price Quote,80 %,0055f000002qL8AAAU
08/03/2021,0015f0000080m8iAAA,Erat Eget LLC,Closed Lost,0 %,0055f000003dKfaAAE
08/05/2021,0015f0000096T9BAAU,Et Malesuada Incorporated,Id. Decision Makers,60 %,0055f000003dKfiAAE
09/25/2021,0015f0000096T9BAAU,Sed Foundation,Proposal/Price Quote,80 %,0055f000003dKfjAAE
09/28/2021,0015f0000096T9IAAU,Risus Nulla Institute,Needs Analysis,20 %,0055f000002pSSwAAM
09/28/2021,0015f0000096T9MAAU,Purus LLP,Prospecting,10 %,0055f000002pSSxAAM
08/07/2021,0015f0000096T9OAAU,Eu Enim Etiam Corporation,Value Proposition,50 %,0055f000002pSSyAAM
09/07/2021,0015f0000096T9rAAE,Cursus Nunc Mauris Industries,Needs Analysis,20 %,0055f000002qL8AAAU
09/17/2021,0015f0000096T9WAAU,Euismod Est Arcu Ltd,Proposal/Price Quote,80 %,0055f000003dKfaAAE
10/08/2021,0015f0000096T9XAAU,Faucibus Morbi Incorporated,Needs Analysis,20 %,0055f000003dKfiAAE
09/25/2021,0015f0000096T9jAAE,Facilisis Non Ltd,Qualification,10 %,0055f000002pSSwAAM
09/16/2021,0015f0000096T9mAAE,Erat Vel Pede Ltd,Qualification,10 %,0055f000002pSSxAAM
